Customer ID,Age,Gender,Job,Marital Status,Education,Default,Housing Loan,Personal Loan,Balance,Contact Type,Last Contact Day,Last Contact Month,Last Contact Duration,Num Contacts,Previous Outcome,Campaign Success,Region,Account Tenure,Monthly Income,Account Type,Num Transactions,Marketing Channel,Customer Satisfaction Score,Risk Score,Churn Probability,Savings Amount,Num Dependents,Device Used,Campaign Response
CUST00021,20,Male,Services,Married,Master's,No,Yes,No,33212.51,Phone,21,Nov,452,5,Failure,No,Deborahtown,25,3863.23,Salary,19,Social Media,6.4,435,0.6,16772.7,4,Tablet,No
CUST00022,79,Other,Unemployed,Divorced,Bachelor's,Yes,Yes,No,22370.02,Phone,10,Jan,331,2,Success,Yes,Anthonyview,29,9240.64,Salary,6,SMS,3.6,697,0.72,1049.02,2,Desktop,Yes
CUST00023,57,Female,Management,Single,Bachelor's,Yes,Yes,No,21639.08,Email,2,Oct,79,10,Unknown,No,Port David,24,2835.53,Savings,13,Social Media,2.6,493,0.5,26808.44,1,Desktop,No
CUST00024,55,Other,Student,Single,Master's,Yes,Yes,No,40150.73,Phone,7,Oct,412,5,Failure,No,Lisafurt,19,9650.37,Current,34,Email,3.4,812,0.78,31849.1,1,Mobile,Yes
CUST00025,61,Male,Admin.,Single,Unknown,Yes,No,Yes,24433.09,Phone,1,Oct,257,6,Failure,Yes,Charlesmouth,9,9819.22,Savings,10,SMS,6.8,827,0.85,90179.95,5,Mobile,No
CUST00026,18,Other,Services,Single,Master's,Yes,No,No,29011.33,SMS,25,Jan,518,8,Unknown,No,New Scottview,21,8617.72,Current,26,SMS,5.7,304,0.24,49835.48,1,Tablet,No
CUST00027,27,Female,Self-employed,Married,PhD,Yes,No,No,9618.59,Email,24,Mar,270,8,Unknown,No,West Jason,4,2687.26,Current,49,Phone,4.5,389,0.75,27732.71,5,Tablet,Yes
CUST00028,59,Other,Services,Divorced,High School,No,No,Yes,12713.89,Email,20,Jan,401,5,Failure,No,New Sarahmouth,6,6665.37,Savings,37,Email,3.0,540,0.6,15919.76,5,Tablet,Yes
CUST00029,25,Female,Unemployed,Single,High School,Yes,Yes,Yes,4546.37,SMS,5,Oct,170,10,Unknown,No,West Audrey,25,8581.86,Salary,31,TV,6.6,471,0.81,69742.69,5,Mobile,No
CUST00030,66,Male,Admin.,Single,PhD,No,No,No,5775.89,Email,14,Oct,55,5,Failure,No,Matthewstad,1,7294.56,Savings,20,Social Media,3.3,580,0.71,54028.28,0,Tablet,No
CUST00031,40,Female,Services,Married,High School,No,Yes,Yes,47622.28,Phone,3,Mar,93,3,Success,No,Jillianborough,7,9596.26,Salary,37,Social Media,7.9,575,0.22,48804.26,1,Mobile,Yes
CUST00032,54,Female,Admin.,Divorced,Bachelor's,No,No,Yes,42460.91,Email,8,Feb,127,4,Failure,Yes,Johnsonside,8,4135.52,Current,8,SMS,9.5,583,0.52,8882.05,1,Mobile,No
CUST00033,21,Male,Technician,Divorced,Unknown,No,No,Yes,33331.92,Email,14,May,440,2,Unknown,Yes,Aprilport,1,1878.2,Savings,36,TV,2.4,447,0.03,2708.14,5,Desktop,Yes
CUST00034,80,Female,Unemployed,Single,High School,Yes,No,Yes,38235.95,Phone,11,Apr,92,5,Success,No,Holmeston,16,8212.85,Current,29,Email,6.6,572,0.48,2469.15,1,Tablet,Yes
CUST00035,47,Female,Retired,Married,High School,Yes,Yes,Yes,13757.26,Phone,7,Sep,369,5,Unknown,No,East Larry,5,6749.57,Current,8,Email,3.7,638,0.92,14752.25,2,Tablet,No
CUST00036,31,Other,Services,Married,High School,Yes,No,Yes,37414.51,SMS,29,Jul,160,5,Success,No,East Mary,10,9238.42,Salary,27,TV,3.1,482,0.68,2879.6,1,Desktop,Yes
CUST00037,60,Other,Retired,Married,Unknown,No,Yes,No,41139.45,Phone,9,Sep,359,2,Failure,Yes,North Deborah,12,1729.29,Savings,17,Phone,1.1,685,0.99,39131.18,1,Desktop,No
CUST00038,20,Other,Self-employed,Divorced,Unknown,No,Yes,No,13829.66,SMS,13,Aug,212,1,Unknown,No,Lake Chelseastad,24,2390.74,Salary,20,Social Media,8.4,468,0.99,50026.79,0,Desktop,Yes
CUST00039,77,Other,Management,Divorced,High School,Yes,Yes,Yes,37064.86,SMS,20,May,344,2,Failure,No,Petersonport,29,4039.81,Savings,35,SMS,7.7,387,0.27,66352.1,1,Tablet,No
CUST00040,22,Other,Student,Single,Bachelor's,No,Yes,Yes,10962.89,Email,5,Oct,50,3,Success,Yes,East Andreaview,1,9718.05,Current,28,SMS,6.3,341,0.63,39429.12,5,Tablet,Yes
